"","exclusive","cumulative_rank","Type","rating","AVG_Nmpaa_comp","AVG_Ngenre_comp","Holiday_distance","sequel","Drama","Comedy","Family","Action","Sci.Fi","Suspense","Romance","Other","mpaa_R_Restricted","mpaa_G_General_audiences","mpaa_PG_Parental_guidance_suggested","mpaa_PG13_Parents_strongly_cautioned","mpaa_NC17_Adults_only","mpaa_Not_Rated"
"exclusive",1,0.12,-0.43,-0.06,-0.2,-0.08,0.04,-0.05,0.03,-0.08,-0.11,-0.3,-0.09,-0.04,-0.01,0.22,-0.31,-0.09,-0.14,-0.27,0.41,-0.11
"cumulative_rank",0.12,1,-0.21,0.2,0.01,-0.07,-0.05,0.23,0.04,0.05,0.15,0,0.13,0.01,0.03,-0.07,-0.11,0.13,0.08,-0.03,0.03,-0.1
"Type",-0.43,-0.21,1,-0.28,0.05,-0.03,-0.03,-0.29,-0.03,0.23,0.11,0.23,-0.02,0.01,0.09,-0.27,0.33,0.04,0.11,0.18,-0.44,0.03
"rating",-0.06,0.2,-0.28,1,0.25,0.12,0.01,0.22,0.15,-0.07,-0.01,-0.03,0.01,0,-0.16,0.01,-0.11,-0.01,0.09,0.17,0.03,0.03
"AVG_Nmpaa_comp",-0.2,0.01,0.05,0.25,1,0.27,0.03,0.11,-0.07,0.16,0.07,0.04,0.08,-0.15,0.08,-0.04,-0.27,0.04,0.36,0.65,-0.08,-0.05
"AVG_Ngenre_comp",-0.08,-0.07,-0.03,0.12,0.27,1,0.11,0.05,-0.09,-0.14,-0.03,-0.13,-0.1,-0.21,-0.25,0.27,0.05,0.04,0.15,0.06,0.02,0.18
"Holiday_distance",0.04,-0.05,-0.03,0.01,0.03,0.11,1,-0.02,0.01,-0.08,-0.05,-0.03,-0.03,0.05,0.02,0,0.01,-0.02,-0.1,-0.02,0.14,-0.05
"sequel",-0.05,0.23,-0.29,0.22,0.11,0.05,-0.02,1,0,0,0.05,0.04,0.14,-0.09,-0.02,0.01,-0.15,0.06,0.06,0.09,0.04,-0.05
"Drama",0.03,0.04,-0.03,0.15,-0.07,-0.09,0.01,0,1,-0.28,-0.27,-0.09,-0.05,0.15,0.1,-0.34,0.13,-0.12,-0.18,0.02,0.03,-0.09
"Comedy",-0.08,0.05,0.23,-0.07,0.16,-0.14,-0.08,0,-0.28,1,0.46,0.11,0,-0.31,0.21,-0.22,-0.05,0.14,0.34,0.05,-0.21,0.02
"Family",-0.11,0.15,0.11,-0.01,0.07,-0.03,-0.05,0.05,-0.27,0.46,1,0.27,0.08,-0.24,0.07,-0.12,-0.18,0.42,0.64,-0.17,-0.22,-0.03
"Action",-0.3,0,0.23,-0.03,0.04,-0.13,-0.03,0.04,-0.09,0.11,0.27,1,0.31,0.14,-0.22,-0.24,0.07,0.15,0.18,0.01,-0.17,-0.07
"Sci.Fi",-0.09,0.13,-0.02,0.01,0.08,-0.1,-0.03,0.14,-0.05,0,0.08,0.31,1,0.06,-0.13,-0.11,0,0.12,0.08,0.05,-0.05,-0.03
"Suspense",-0.04,0.01,0.01,0,-0.15,-0.21,0.05,-0.09,0.15,-0.31,-0.24,0.14,0.06,1,-0.33,-0.3,0.2,-0.07,-0.31,-0.06,0.14,-0.07
"Romance",-0.01,0.03,0.09,-0.16,0.08,-0.25,0.02,-0.02,0.1,0.21,0.07,-0.22,-0.13,-0.33,1,-0.15,-0.13,-0.03,0.11,0.09,-0.03,-0.09
"Other",0.22,-0.07,-0.27,0.01,-0.04,0.27,0,0.01,-0.34,-0.22,-0.12,-0.24,-0.11,-0.3,-0.15,1,-0.15,0.01,-0.02,-0.09,0.12,0.05
"mpaa_R_Restricted",-0.31,-0.11,0.33,-0.11,-0.27,0.05,0.01,-0.15,0.13,-0.05,-0.18,0.07,0,0.2,-0.13,-0.15,1,-0.11,-0.23,-0.21,-0.27,-0.02
"mpaa_G_General_audiences",-0.09,0.13,0.04,-0.01,0.04,0.04,-0.02,0.06,-0.12,0.14,0.42,0.15,0.12,-0.07,-0.03,0.01,-0.11,1,0.26,-0.1,-0.16,-0.04
"mpaa_PG_Parental_guidance_suggested",-0.14,0.08,0.11,0.09,0.36,0.15,-0.1,0.06,-0.18,0.34,0.64,0.18,0.08,-0.31,0.11,-0.02,-0.23,0.26,1,-0.09,-0.31,-0.06
"mpaa_PG13_Parents_strongly_cautioned",-0.27,-0.03,0.18,0.17,0.65,0.06,-0.02,0.09,0.02,0.05,-0.17,0.01,0.05,-0.06,0.09,-0.09,-0.21,-0.1,-0.09,1,-0.44,0
"mpaa_NC17_Adults_only",0.41,0.03,-0.44,0.03,-0.08,0.02,0.14,0.04,0.03,-0.21,-0.22,-0.17,-0.05,0.14,-0.03,0.12,-0.27,-0.16,-0.31,-0.44,1,-0.1
"mpaa_Not_Rated",-0.11,-0.1,0.03,0.03,-0.05,0.18,-0.05,-0.05,-0.09,0.02,-0.03,-0.07,-0.03,-0.07,-0.09,0.05,-0.02,-0.04,-0.06,0,-0.1,1
